Day,Actual,Prediction,Bought,Sold,Profit
4,2.29,-1.430484157,-0.46583582,,-0.922548818765
5,-0.43,-0.612808387,-1.50584136,,-3.88103770182
6,-1.39,-0.579341773,,,-3.88103770182
7,-0.54,0.664048359,,,-3.88103770182
8,-1.46,0.529502367,,,-3.88103770182
9,-2.09,1.725339296,,,-3.88103770182
10,0.19,1.413018907,2.77334811,,2.03824407739
11,2.56,-1.254645954,-1.54917492,,-1.37177436137
12,-1.43,-1.197176485,,,-1.37177436137
13,2.12,0.945844827,,,-1.37177436137
14,-0.72,-0.096782038,-1.32539202,,-4.25213139938
15,-1.2,-0.701514223,-2.2089867,,-8.98042120418
16,-2.0,-2.150983929,,,-8.98042120418
17,0.04,0.197217053,,,-8.98042120418
18,-1.85,0.130170771,-0.55224667,,-10.290055419
19,-0.5,-0.548804951,1.11553828,,-7.70939339416
20,1.01,-0.670808984,,,-7.70939339416
21,-0.96,0.385857336,-0.03313481,,-7.78664559812
22,-0.03,-5.16587842,1.61256029,,-4.16557251435
23,1.46,-2.102861997,2.08749243,,0.836555839635
24,1.89,-0.746146739,-3.62273819,,-7.40731014061
25,-3.28,-2.204280661,0.0,,-7.40731014061
26,0.0,-2.041828582,,,-7.40731014061
27,-1.24,0.932672431,-1.42479642,,-10.9183204204
28,-1.29,-0.67833851,1.01613388,,-8.36837813658
29,0.92,-0.312153699,-2.4409303,,-14.5348179642
30,-2.21,-1.968254014,-0.94986428,,-16.9165437073
31,-0.86,-0.525265921,,,-16.9165437073
32,0.04,-0.035441959,,,-16.9165437073
33,1.32,1.225380834,0.54120174,,-15.5786898313
34,0.49,-2.242400177,0.35343787,,-14.6745794202
35,0.32,-3.491965209,4.36370046,,-3.24524079146
36,3.91,-1.657425576,2.07582681,,2.08386348864
37,1.86,-2.228353989,,,2.08386348864
38,1.54,2.634325602,,,2.08386348864
39,-1.11,0.841957006,-3.83916357,,-7.48215367184
40,-3.44,-1.576742416,,,-7.48215367184
41,0.22,1.036350496,0.26784862,,-6.79107732586
42,0.24,-1.997692592,-0.37945221,,-7.81369860348
