y,Output,USO0,DJIA0,UNG0,USO1,DJIA1,UNG1,USO2,DJIA2,UNG2,USO3,DJIA3,UNG3,USO4,DJIA4,UNG4
1,0.24,-0.07,-0.98,0.45,0.09,-0.08,-0.03,1.09,-1.4,1.09,-0.26,-0.48,-0.2,-0.39,-2.68,0.71
2,0.17,0.24,-0.95,-0.01,-0.07,-0.98,0.45,0.09,-0.08,-0.03,1.09,-1.4,1.09,-0.26,-0.48,-0.2
3,0.36,0.17,0.02,0.18,0.24,-0.95,-0.01,-0.07,-0.98,0.45,0.09,-0.08,-0.03,1.09,-1.4,1.09
4,0.53,0.36,0.58,-0.11,0.17,0.02,0.18,0.24,-0.95,-0.01,-0.07,-0.98,0.45,0.09,-0.08,-0.03
5,0.07,0.53,-0.38,-0.36,0.36,0.58,-0.11,0.17,0.02,0.18,0.24,-0.95,-0.01,-0.07,-0.98,0.45
6,-0.26,0.07,-0.64,0.33,0.53,-0.38,-0.36,0.36,0.58,-0.11,0.17,0.02,0.18,0.24,-0.95,-0.01
7,-0.33,-0.26,0.22,-0.14,0.07,-0.64,0.33,0.53,-0.38,-0.36,0.36,0.58,-0.11,0.17,0.02,0.18
8,0.17,-0.33,-0.52,-0.14,-0.26,0.22,-0.14,0.07,-0.64,0.33,0.53,-0.38,-0.36,0.36,0.58,-0.11
9,-0.13,0.17,-0.12,-0.07,-0.33,-0.52,-0.14,-0.26,0.22,-0.14,0.07,-0.64,0.33,0.53,-0.38,-0.36
10,0.17,-0.13,0.73,-0.23,0.17,-0.12,-0.07,-0.33,-0.52,-0.14,-0.26,0.22,-0.14,0.07,-0.64,0.33
11,0.65,0.17,0,-0.29,-0.13,0.73,-0.23,0.17,-0.12,-0.07,-0.33,-0.52,-0.14,-0.26,0.22,-0.14
12,-0.23,0.65,-0.28,-0.12,0.17,0,-0.29,-0.13,0.73,-0.23,0.17,-0.12,-0.07,-0.33,-0.52,-0.14
13,-0.17,-0.23,-0.49,-0.11,0.65,-0.28,-0.12,0.17,0,-0.29,-0.13,0.73,-0.23,0.17,-0.12,-0.07
14,-0.17,-0.17,0.07,0.18,-0.23,-0.49,-0.11,0.65,-0.28,-0.12,0.17,0,-0.29,-0.13,0.73,-0.23
15,0.16,-0.17,0.68,-0.2,-0.17,0.07,0.18,-0.23,-0.49,-0.11,0.65,-0.28,-0.12,0.17,0,-0.29
16,-0.46,0.16,0.58,-0.42,-0.17,0.68,-0.2,-0.17,0.07,0.18,-0.23,-0.49,-0.11,0.65,-0.28,-0.12
17,0.35,-0.46,-0.51,-0.16,0.16,0.58,-0.42,-0.17,0.68,-0.2,-0.17,0.07,0.18,-0.23,-0.49,-0.11
18,-0.4,0.35,-0.21,-0.07,-0.46,-0.51,-0.16,0.16,0.58,-0.42,-0.17,0.68,-0.2,-0.17,0.07,0.18
19,-0.16,-0.4,-0.01,0.21,0.35,-0.21,-0.07,-0.46,-0.51,-0.16,0.16,0.58,-0.42,-0.17,0.68,-0.2
