price,day_change,volume,adjusted_close
155.86,0.28,5909900,155.86
155.29,-0.32,8157400,155.29
155.87,-0.86,6089100,155.87
156.5,0.79,5779100,156.5
155.37,0.17,4968800,155.37
155.45,0.54,4565000,155.45
154.8,0.61,5182600,154.8
153.82,0.01,5428400,153.82
154.25,0.22,7501700,154.25
153.53,-0.16,3588300,153.53
153.6,-0.06,7714400,153.6
153.48,1.37,9916600,153.31
153.52,1.15,8714800,153.35
151.34,-1.26,8144700,151.17
152.8,1.61,6470100,152.63
152.17,1.25,8186000,152
150.96,1.82,12792200,150.79
147.78,0.09,11075200,147.62
147.53,-1.47,10388000,147.37
149,-0.12,6081100,148.83
150.43,0.75,6867800,150.26
149.67,-0.99,10949200,149.5
150.98,0.08,8895300,150.81
151.62,0.62,8616300,151.45
151,0.21,9426100,150.83
152.21,-0.09,6634800,152.04
152.95,0.25,5026300,152.78
152.42,-0.84,7187200,152.25
153.06,-0.68,5774900,152.89
153.71,-0.4,8662000,153.54
154.3,-1.86,9381000,154.13
156.32,-0.55,7626600,155.84
156.69,1.53,9637300,156.21
155.29,0.27,4517600,154.82
154.94,-0.39,6569000,154.47
153.69,0.35,4829600,153.22
153.03,-0.3,5555700,152.56
153.15,1.33,7044000,152.68
151.79,0.32,7917100,151.33
150.47,0.97,4402500,150.01
149.09,-0.61,9001900,148.64
149.12,-0.06,6021300,148.67
149.18,1.16,4577700,148.72
148.11,-0.77,5430300,147.66
147.85,-0.57,6326800,147.4
148.25,0.23,4695500,147.8
148.04,0.62,4842500,147.59
147.5,-0.69,11440200,147.05
149.21,-0.62,5770200,148.75
149.83,0.24,9601600,149.37
149.4,0.54,4227000,148.94
148.64,-0.8,9497100,148.19
149.75,-0.16,3845900,149.29
149.74,-0.56,4174100,149.28
150.5,-0.08,7035200,150.04
151.12,-0.98,10021900,150.28
153.32,-0.95,6372100,152.46
154.44,0.02,4752500,153.58
154.03,0.58,3697300,153.17
154.11,-0.38,4550300,153.25
154.69,-0.64,5071200,153.83
154.54,0.22,4341600,153.68
154.85,-0.52,3582300,153.99
155.79,-0.12,3077100,154.92
156.2,0.73,3620800,155.33
155.89,0,4872400,155.02
154.84,-0.28,11784600,153.98
154.91,-0.49,4211000,154.05
154.93,0.07,2592500,154.07
155.16,0.68,3859300,154.29
155.12,0.58,5483500,154.25
155.1,-0.51,3894500,154.24
155.36,-0.21,3394100,154.49
