start date: 05/30/13, end date: 05/31/13, keyword: economy
disambiguated name,sentiment,significance
Ruben Navarrette,0.0373392,7.92497932752
Monetary Policy Committee,0.0,2.96465921283
Robert T. Kuroda,-0.0467563,4.42913615005
Japanese government,-1.356049,32.3719690123
Joyce Liu,-0.0111769,3.35330960055
Brad Lipsig,0.110809,4.65425426042
European Commission,0.2665421,19.9089971049
Eurostat,0.100344,4.46020625859
Citigroup,0.219341,1.81076275273
Mitul Kotecha,0.0975611,1.34099520378
Honda,-0.333793,1.49829707896
Ansuya Harjani,0.0,4.97919536946
Brent Scowcroft,-0.406684,5.90336294451
Daiwa Securities Group,0.0,2.58739321071
Amando Tetangco,-0.177125,6.983275189
Labor Department,0.627536,81.9638355523
Randy Frederick,-2.323832,51.5579012459
Desmond Chua,-0.220275,7.26091613619
Hirokazu Yuihama,0.0,3.89223521837
Fereidun Fesharaki,0.0,53.0339531001
Howard Archer,0.449305,3.67180653921
United States Department of the Treasury,0.1607286,14.6302191054
Dearborn Michigan,0.0,4.28169137535
Matthew Lewis,0.0,1.76586544475
Nasdaq,0.673475,18.6576945461
Daniel Martin (cyclist),-0.200041,5.1384409714
United States Congress,0.0,0.840546673759
Arsenio Balisacan,0.150412,8.38129435354
South Korea,-0.257802,0.0
Bernard Aw,0.145827,6.983275189
Peter Dixon,-0.232351,5.22226001018
Kathy Lien,0.0350257,2.18902564725
Larry Hatheway,0.0,5.1384409714
Forecastweb,0.16012,4.65425426042
Korea,0.118471,1.25241760063
Katie Stockton,0.0744452,46.9092359391
Tilman Blasshofer,0.0,6.29837648322
wireless service,0.85687,36.0842182331
Eva Kuehnen,0.0,4.75179479384
Jane Merriman,0.0,4.36620288231
Alcoa,-0.72011,32.7870706383
Gene McGillian,0.206051,3.294571895
central bank,-0.2000524,3.35837458626
United States Department of State,0.0,1.35420469977
Ohio,-0.172952,1.25231666809
Oil Minister Ali al-Naimi,1.331018,8.52703799412
Caroline Copley,0.0,5.78728475198
Tradition Energy,0.140727,2.38891958551
