VIX,VIX_PCT_CHNG,VVIX,VVIX_PCT_CHNG,VIX_OVER_VVIX,BEST_PREDICTION
14.33,-0.05,87.68,-0.02,0.163435219,NO
14.33,0.00,85.03,-0.03,0.1685287546,NO
16.52,0.15,92.97,0.09,0.1776917285,2_OR_FOUR
15.29,-0.07,86.96,-0.06,0.1758279669,2_OR_FOUR
16.06,0.05,91.25,0.05,0.176,2_OR_FOUR
18.39,0.15,98.19,0.08,0.1872899481,3MDD
20.08,0.09,106.06,0.08,0.1893267962,NO
18.16,-0.10,96.71,-0.09,0.1877778927,2_OR_FOUR
18.84,0.04,100.3,0.04,0.1878364905,NO
16.85,-0.11,93.47,-0.07,0.1802717449,2_OR_FOUR
16.99,0.01,96.18,0.03,0.1766479518,2_OR_FOUR
15.47,-0.09,90.97,-0.05,0.1700560624,3MDD
15.62,0.01,88.55,-0.03,0.1763975155,3MDD
15.76,0.01,89.42,0.01,0.1762469246,2_OR_FOUR
15.19,-0.04,86.14,-0.04,0.1763408405,2_OR_FOUR
15.12,0.00,88.35,0.03,0.1711375212,6MDD
16.13,0.07,90.84,0.03,0.1775649494,NO
14.67,-0.09,87.32,-0.04,0.1680027485,NO
15.91,0.08,92.94,0.06,0.1711857112,3MDD
18.11,0.14,101.8,0.10,0.1778978389,NO
14.81,-0.18,89.19,-0.12,0.1660500056,2_OR_FOUR
15.84,0.07,94.3,0.06,0.1679745493,2_OR_FOUR
17.6,0.11,99.16,0.05,0.1774909238,2_OR_FOUR
19.61,0.11,113.83,0.15,0.1722744443,2_OR_FOUR
19.34,-0.01,113.8,0.00,0.1699472759,NO
24.39,0.26,131.09,0.15,0.1860553818,2_OR_FOUR
22.73,-0.07,122.22,-0.07,0.1859761087,2_OR_FOUR
20.95,-0.08,114.37,-0.06,0.1831774067,2_OR_FOUR
17.86,-0.15,108.93,-0.05,0.1639585055,NO
18.89,0.06,113.52,0.04,0.1664023961,2_OR_FOUR
20.7,0.10,118.32,0.04,0.1749492901,NO
18.7,-0.10,109.44,-0.08,0.170869883,2_OR_FOUR
16.6,-0.11,100.91,-0.08,0.1645030225,2_OR_FOUR
15.57,-0.06,99.61,-0.01,0.1563096075,NO
16.91,0.09,99.8,0.00,0.1694388778,NO
16.91,0.00,99.24,-0.01,0.170395002,NO
16.09,-0.05,95.13,-0.04,0.1691369705,NO
17.29,0.07,100.82,0.06,0.1714937512,2_OR_FOUR
18.21,0.05,100.2,-0.01,0.1817365269,NO
20.7,0.14,107.69,0.07,0.1922184047,2_OR_FOUR
19.34,-0.07,101.84,-0.05,0.1899057345,NO
20.59,0.06,103.06,0.01,0.1997865321,2_OR_FOUR
24.99,0.21,116.66,0.13,0.2142122407,2_OR_FOUR
27.01,0.08,116.46,0.00,0.2319251245,2_OR_FOUR
24.3,-0.10,109.63,-0.06,0.2216546566,2_OR_FOUR
22.47,-0.08,104.52,-0.05,0.2149827784,2_OR_FOUR
25.22,0.12,117.14,0.12,0.2152979341,3MDD
23.95,-0.05,110.07,-0.06,0.2175888071,2_OR_FOUR
27.02,0.13,116.41,0.06,0.2321106434,2_OR_FOUR
25.87,-0.04,114.49,-0.02,0.225958599,2_OR_FOUR
27.59,0.07,112.88,-0.01,0.2444188519,3MDD
26.9,-0.03,108.38,-0.04,0.2482007751,NO
22.34,-0.17,98.92,-0.09,0.2258390619,2_OR_FOUR
24.15,0.08,102.88,0.04,0.2347395023,NO
22.5,-0.07,98.4,-0.04,0.2286585366,2_OR_FOUR
23.11,0.03,100.04,0.02,0.231007597,2_OR_FOUR
22.42,-0.03,96.56,-0.03,0.2321872411,NO
20.2,-0.10,89.95,-0.07,0.2245692051,2_OR_FOUR
21.98,0.09,97.6,0.09,0.225204918,2_OR_FOUR
21.98,0.00,97.6,0.00,0.225204918,3MDD
21.65,-0.02,97.32,0.00,0.2224619811,2_OR_FOUR
21.85,0.01,95.23,-0.02,0.2294445028,2_OR_FOUR
23.38,0.07,100.54,0.06,0.232544261,2_OR_FOUR
26,0.11,104.53,0.04,0.2487324213,2_OR_FOUR
26.54,0.02,103.06,-0.01,0.2575198913,2_OR_FOUR
26.29,-0.01,106.19,0.03,0.2475751012,2_OR_FOUR
28.14,0.07,107.21,0.01,0.2624755153,NO
25.4,-0.10,103.25,-0.04,0.2460048426,NO
24.11,-0.05,94.3,-0.09,0.2556733828,2_OR_FOUR
22.31,-0.07,88.96,-0.06,0.2507868705,NO
21.64,-0.03,87.53,-0.02,0.2472295213,2_OR_FOUR
20.53,-0.05,86.25,-0.01,0.2380289855,NO
19.38,-0.06,86.19,0.00,0.224852071,3MDD
20.98,0.08,86.19,0.00,0.2434157095,2_OR_FOUR
20.72,-0.01,86.74,0.01,0.2388747982,2_OR_FOUR
19.11,-0.08,83.51,-0.04,0.2288348701,2_OR_FOUR
